Image_ID,class,confidence,ymin,xmin,ymax,xmax
ID_a0srv9.jpg,anthracnose,0.7403684457143148,363,832,2210,2487
ID_a0srv9.jpg,healthy,0.43191389242808026,1444,1347,2448,3264
ID_a0srv9.jpg,healthy,0.3051444093386332,182,2716,364,2907
ID_a0srv9.jpg,anthracnose,0.0888226330280304,1439,1368,2448,3264
ID_a15jyy.jpg,anthracnose,0.6942460536956787,155,250,2046,1518
ID_a15jyy.jpg,anthracnose,0.5182954470316569,45,5,1425,994
ID_A16nzu.jpg,healthy,0.5345177253087362,13,43,1274,931
ID_A16nzu.jpg,cssvd,0.2901887694994609,5,75,1265,933
ID_A1Euyz.jpg,anthracnose,0.6564290523529053,153,255,1083,959
ID_A1HcV0.jpeg,anthracnose,0.7539424101511637,112,10,2559,1438
ID_A1HcV0.jpeg,anthracnose,0.7307103474934896,774,1003,3024,2395
ID_A1HcV0.jpeg,anthracnose,0.2586553891499837,1,2325,664,3019
ID_A4ZdJC.jpeg,healthy,0.8495506445566813,620,223,3024,2195
ID_A5SFUW.jpeg,healthy,0.8579723040262858,7,19,3024,2936
ID_A6Fogi.jpeg,anthracnose,0.7272620995839437,699,187,1800,1790
ID_a76tQV.jpg,cssvd,0.8375231424967448,123,277,1072,801
ID_a76tQV.jpg,cssvd,0.48444167772928876,316,1,1076,393
ID_a7m7Ky.jpg,anthracnose,0.8208536307017008,421,332,1960,1242
ID_a7m7Ky.jpg,anthracnose,0.26026097933451336,24,16,756,352
ID_AaL0uh.jpeg,healthy,0.8457860946655273,0,0,3024,2179
ID_AaL0uh.jpeg,healthy,0.3687082926432292,0,1985,2718,3018
ID_aaSu0i.jpg,healthy,0.7978347142537435,71,94,398,354
ID_aaSu0i.jpg,healthy,0.7822357018788656,3,1,326,278
ID_aaSu0i.jpg,healthy,0.53295369942983,65,225,337,415
ID_aatE8l.jpeg,healthy,0.8430453936258951,1006,19,2778,2968
ID_aatE8l.jpeg,healthy,0.6766579151153564,1809,7,3024,1833
ID_ABDCyn.jpeg,healthy,0.8482529322306315,288,1,3024,2270
ID_ABDCyn.jpeg,healthy,0.7921797434488932,533,1405,3024,2946
ID_ABDCyn.jpeg,healthy,0.6283443371454874,0,0,714,2360
ID_abLPBK.jpg,healthy,0.813528855641683,539,725,2103,1461
ID_abLPBK.jpg,healthy,0.6429834365844727,966,154,2605,794
ID_abLPBK.jpg,healthy,0.6070653597513834,1966,731,3263,1545
ID_abLPBK.jpg,healthy,0.3990698258082072,0,2221,866,2448
ID_abLPBK.jpg,healthy,0.30534909168879193,100,1246,1710,1730
ID_abLPBK.jpg,healthy,0.26039310296376544,995,1187,3186,1660
ID_AcCl43.jpg,cssvd,0.8186430136362711,3,1,1076,585
ID_AcCl43.jpg,cssvd,0.46043626467386883,41,553,822,808
ID_ACg6Qf.jpeg,anthracnose,0.7778566678365072,41,8,1028,540
ID_aCgBad.jpg,cssvd,0.4616998831431071,241,107,1659,2189
ID_aCgBad.jpg,healthy,0.21564481655756632,202,119,1583,2103
ID_AFi8A1.jpg,healthy,0.5969723065694174,314,651,1601,1246
